query_id,doc_id,rank,score
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,92109cd8-01f9-4e1c-899d-cf2933315120,1,0.24112810015731836
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,1d282b64-530b-470e-ab18-64270bdb8305,2,0.24112810015731836
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,f2c966dc-f3fe-48b2-8506-e65425167c45,3,0.20246359998959412
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,73f2a198-6581-4459-b5d7-62dd38100cbc,4,0.20246359998959412
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,6fa35fab-1344-48a3-80a3-ca42e0daa852,5,0.16562793602330347
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,ddcfb34b-def5-45b0-8ddc-2d29d421609b,6,0.16562793602330347
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,67a3edd2-bcf4-43e9-a649-fe002d435eba,7,0.1588193287338463
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,5a15b067-82d8-4b5b-9c1e-7cc4e2f5a361,8,0.1588193287338463
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,357cfa90-b51d-4289-a688-59c7e81937c3,9,0.14489992681944713
6E93CDD1-52F9-4F41-A405-54E398EF6FF8,0731910c-9b7c-4dc7-94c4-fc3baa996c00,10,0.14489992681944713
0D97BCC6-C46E-4242-9777-7CEAED55B362,5218d9e8-1eb0-4e33-ac29-9c31bd79b9b4,1,0.34965243187686845
0D97BCC6-C46E-4242-9777-7CEAED55B362,c281f833-11cc-451b-9cce-bc908916630f,2,0.34965243187686845
0D97BCC6-C46E-4242-9777-7CEAED55B362,da0f83dc-6464-41e8-8b3b-ff9b7f2349b7,3,0.11726158178540437
0D97BCC6-C46E-4242-9777-7CEAED55B362,3b8025de-80f3-458c-9772-5b9088367e89,4,0.11726158178540437
0D97BCC6-C46E-4242-9777-7CEAED55B362,f297c25b-30f7-4326-afcb-9d875e1e1529,5,0.11274644945533333
0D97BCC6-C46E-4242-9777-7CEAED55B362,1d759d50-261a-44a0-bf29-b76cf06711c9,6,0.11274644945533333
0D97BCC6-C46E-4242-9777-7CEAED55B362,ad3b7178-06d0-4b64-9748-844eb19f5a11,7,0.09761312845540318
0D97BCC6-C46E-4242-9777-7CEAED55B362,79fa612b-b665-4b80-8ab8-3c1b87bc6d33,8,0.09761312845540318
0D97BCC6-C46E-4242-9777-7CEAED55B362,8c5021fc-fa43-4fb9-b7ba-98c86c4d8636,9,0.0795191927180764
0D97BCC6-C46E-4242-9777-7CEAED55B362,12887ecf-fa28-488b-b783-66b3be3b4790,10,0.0795191927180764
